title,data_cid,gps_coordinates/latitude,gps_coordinates/longitude,sponsored,extensions/0,extensions/1,extensions/2,rating,reviews,position,description,link,unclaimed,place_id,address,category,phone,opening_hours/per_day/0/name,opening_hours/per_day/0/value,opening_hours/per_day/1/name,opening_hours/per_day/1/value,opening_hours/per_day/2/name,opening_hours/per_day/2/value,opening_hours/per_day/3/name,opening_hours/per_day/3/value,opening_hours/per_day/4/name,opening_hours/per_day/4/value,opening_hours/per_day/5/name,opening_hours/per_day/5/value,opening_hours/per_day/6/name,opening_hours/per_day/6/value,snippet,extensions/3
Smolare Waterfall,8.58794E+18,41.3662782,22.8996196,FALSE,"4,8  (420)",Vandens krioklys,Šiaurės Makedonija,4.8,420,1,"DescriptionSmolare Falls is the tallest waterfall in the Republic of North Macedonia, falling from a height of 39.5 metres. It is located above the village of Smolare in the Municipality of Novo Selo in the southeastern region of the country. ",http://djunev.info/smolarski-vodopad-makedoniya-selo-smolari.html/smolarski-vodopad-smolarski-vodopad-makedoniya,FALSE,ChIJzYWqNlHxqRQRApV5XBeCLnc,North Macedonia,Waterfall in the Republic of Macedonia,,,,,,,,,,,,,,,,,
Koleshino Waterfall,1.28678E+19,41.3695082,22.8068927,FALSE,"4,8  (325)",Vandens krioklys,Šiaurės Makedonija,4.8,325,2,"DescriptionKoleshino Falls is located above the village of Kolešino in the Municipality of Novo Selo in the southeastern region of North Macedonia.
Flowing from the Baba River, the waterfall is found at an elevation of 610 metres on the Mount Belasica. ",,FALSE,ChIJZflwS3T6qRQRO4fxSFask7I,North Macedonia,Waterfall in the Republic of Macedonia,+389 34 351 796,,,,,,,,,,,,,,,,
Duf Waterfall,1.05721E+19,41.60272,20.5967327,FALSE,"4,8  (191)",Gamtos draustinis,Šiaurės Makedonija,4.8,191,3,DescriptionDuf Falls near the village of Rostuša is located in Mavrovo National Park in the western region of North Macedonia. The waterfall is located near the Saint Jovan Bigorski Monastery ,,TRUE,ChIJ95xJzLVsURMRaXumC9Kmt5I,North Macedonia,Nature reserve,,,,,,,,,,,,,,,,,
Korab Waterfall,1.58193E+19,41.7624553,20.5335246,FALSE,"5,0  (5)",Turistų lankytina vieta,Šiaurės Makedonija,5,5,4,,,TRUE,ChIJfT5oZ6RvURMRn8UkS4Kcids,North Macedonia,Tourist attraction in the Republic of Macedonia,,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,Monday,Open 24 hours,Tuesday,Open 24 hours,,
Spikovski Waterfall,1.64181E+19,41.736104,22.934913,FALSE,"4,6  (29)",Turistų lankytina vieta,"Pehchevo, Šiaurės Makedonija",4.6,29,5,,http://pehcevo.gov.mk/turizam/,FALSE,ChIJmVOg2sgUqhQR5jeD5Nfm2OM,"Rd to Pehcevo waterfalls, Pehchevo 2326, North Macedonia",Tourist attraction in the Republic of Macedonia,+389 33 444 974,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,Monday,Open 24 hours,Tuesday,Open 24 hours,,
Cave Alilica,1.5093E+19,41.5666138,20.7532295,FALSE,"5,0  (7)",Turistų lankytina vieta,Šiaurės Makedonija,5,7,6,,,TRUE,ChIJodmd0IY_URMRjUQtm2Y6ddE,Šiaurės Makedonija,Tourist attraction in the Republic of Macedonia,,,,,,,,,,,,,,,,"""Complex of 12 waterfalls and 2 caves located in the hearth of Bistra ...""","""Complex of 12 waterfalls and 2 caves located in the hearth of Bistra ..."""
Кочулски водопади/Kochuli waterfalls,2.72775E+18,41.316117,22.709933,FALSE,Nėra atsiliepimų,Turistų lankytina vieta,"Bashibos, Šiaurės Makedonija",,,7,,,TRUE,ChIJtZjrzY3jqRQREQJmNtzl2iU,"Unnamed Road, Bashibos, North Macedonia",Tourist attraction in the Republic of Macedonia,,,,,,,,,,,,,,,,,
Вевчански Извори,7.2743E+18,41.2393481,20.5852022,FALSE,"4,7  (863)",Parkas,Šiaurės Makedonija,4.7,863,8,,,TRUE,ChIJc4KUZ7zjUBMRouAKYWWF82Q,"6335, North Macedonia",Park in the Republic of Macedonia,+389 72 262 618,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,Monday,Open 24 hours,Tuesday,Open 24 hours,"""Waterfalls in Municipality of Vevchani""","""Waterfalls in Municipality of Vevchani"""
National park Mavrovo,6.36988E+18,41.6995671,20.6652778,FALSE,"4,7  (2 463)",Turistų lankytina vieta,Šiaurės Makedonija,4.7,2463,9,"DescriptionThe Mavrovo National Park is the largest of the three national parks of North Macedonia. Located in the west of the country, it spreads over an area of about 780 km² and is characterized by deep canyons, lakes and dense forests that abound with diverse wildlife. ",http://www.npmavrovo.org.mk/,TRUE,ChIJo4v4db9pURMRLOrRySJdZlg,North Macedonia,National park in the Republic of Macedonia,+389 42 489 425,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,Monday,Open 24 hours,Tuesday,Open 24 hours,,
Skra Waterfalls,9.65902E+18,41.0633379,22.3916525,FALSE,"4,7  (734)",Turistų lankytina vieta,"Skra, Graikija",4.7,734,10,,,TRUE,ChIJM_xXEFAwVhMRfZhxNdm5C4Y,"Επαρ.Οδ. Κούπας, Skra 614 00, Greece",Tourist attraction in Greece,,,,,,,,,,,,,,,,,
Babuna,2.82644E+18,41.6399694,21.7348364,FALSE,"4,6  (8)",Upė,,4.6,8,11,"ОписБабуна — річка в Македонії, права притока Вардара. Витікає з вершини Солунської Глави на горі Якубиця. Має довжину 65 км, а її басейн займає площу 612 км². Бабуна тече на південь і південний захід від Велеса. ",,FALSE,ChIJaxZD19GDVhMRUmjRFC6FOSc,,,,,,,,,,,,,,,,,,,
Koleshino,1.29109E+19,41.3811785,22.8150199,FALSE,Šiaurės Makedonija,,,,,12,"DescriptionKolešino is a village in the municipality of Novo Selo, North Macedonia. ",,FALSE,,,,,,,,,,,,,,,,,,,,
Kounoupitsa - Waterfall,7.52293E+18,40.9842178,21.8872316,FALSE,"4,8  (35)",Turistų lankytina vieta,"Aridaia, Graikija",4.8,35,13,,,TRUE,ChIJ1ZKqDburVxMR3yJHkiDQZmg,"Unnamed Road, Aridea 584 00, Greece",Tourist attraction in Greece,,,,,,,,,,,,,,,,,
Gabrovo waterfalls,4.56314E+18,41.3755924,22.7889993,FALSE,"4,3  (25)",Vandens sporto centras,Šiaurės Makedonija,4.3,25,14,,,TRUE,ChIJCYJT3eL7qRQRyogdS2eKUz8,North Macedonia,Aquatic centre in the Republic of Macedonia,,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,Monday,Open 24 hours,Tuesday,Open 24 hours,,
Edessa Waterfalls,6.63871E+18,40.8039983,22.0557123,FALSE,"4,7  (8 081)",Turistų lankytina vieta,"Edessa, Graikija",4.7,8081,15,,http://www.edessacity.gr/,FALSE,ChIJS7qnHjG7VxMRVrO4VLNzIVw,"Tsimiski 2, Edessa 582 00, Greece","Nature preserve in Edessa, Greece",+30 2381 020300,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,Monday,Open 24 hours,Tuesday,Open 24 hours,,
Mirusha Waterfalls,1.88301E+18,42.5240364,20.6002986,FALSE,"4,5  (157)",Vandens krioklys,Serbija,4.5,157,16,"DescriptionThe Mirusha waterfalls are a series of waterfalls found in the Mirusha Park, in central Kosovo. The waterfalls have, over time, created canyons and caves, which are famous throughout the country. The river has carved a 10 kilometres canyon and created 13 lakes with waterfalls between them. ",,FALSE,ChIJm-UsGOwJUxMRezB0-FTMIRo,,Waterfall in Europe,,,,,,,,,,,,,,,,,
Καταρράκτης - Waterfall,1.64256E+19,40.9787524,21.94674,FALSE,"4,9  (21)",Turistų lankytina vieta,"Aridaia, Graikija",4.9,21,17,,,TRUE,ChIJB1uXOqCrVxMRLqRoqINh8-M,"Aridaia 584 00, Greece",Tourist attraction in Greece,,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,Monday,Open 24 hours,Tuesday,Open 24 hours,,
Duf,5.19505E+18,41.7483487,20.7781796,FALSE,Šiaurės Makedonija,,,,,18,"DescriptionDuf is a village in the municipality of Mavrovo and Rostuša, North Macedonia. ",,FALSE,,,,,,,,,,,,,,,,,,,,
Lake Gratce,6.86361E+18,41.9612055,22.4075398,FALSE,"4,3  (19)",Ežeras,,4.3,19,19,,,FALSE,ChIJm67DT8qRVRMRkjx4XBdyQF8,,,,,,,,,,,,,,,,,,,
Edessa Waterfalls Park,2.04929E+18,40.8036092,22.0547459,FALSE,"4,7  (1 521)",Parkas,"Edessa, Graikija",4.7,1521,20,,http://www.edessacity.gr/,FALSE,ChIJVWwmnTG7VxMR4LbCNx-HcBw,"Karaoli, Edessa 582 00, Greece","Park in Edessa, Greece",+30 2381 020300,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,Monday,Open 24 hours,Tuesday,Open 24 hours,,
